"Raf" "Erk" "Plcg" "PKC" "PKA" "PIP2" "PIP3" "Mek" "P38" "Jnk" "Akt"
"Raf" 0 0.0914771001201255 0.141645155187311 0.11545001650981 0.208722128447055 0.14267251497306 0.0340736405095829 0.574895882408447 0.179802765236491 0.124498465912621 0.19073635608909
"Erk" 0.0914771001201255 0 0.150693497357301 0.213278913521762 0.186784474883201 0.137022349023952 0.0770956786512867 0.100178244505617 0.146014479948456 0.198115749788378 0.49446136427325
"Plcg" 0.141645155187311 0.150693497357301 0 0.170689486625423 0.178847597016499 0.393067316396544 0.0970665147573653 0.181251875527001 0.182237595481583 0.214042683366897 0.175679472395141
"PKC" 0.11545001650981 0.213278913521762 0.170689486625423 0 0.153808181560336 0.175889679850805 0.0808949989046202 0.19115117932401 0.527683591352412 0.37996030292225 0.19961509266867
"PKA" 0.208722128447055 0.186784474883201 0.178847597016499 0.153808181560336 0 0.163194797783022 0.0533589835318375 0.196191513160471 0.18535942276698 0.153733316278256 0.214812012147998
"PIP2" 0.14267251497306 0.137022349023952 0.393067316396544 0.175889679850805 0.163194797783022 0 0.251419310698513 0.163307107449357 0.164125054341682 0.162559034807543 0.155965135068579
"PIP3" 0.0340736405095829 0.0770956786512867 0.0970665147573653 0.0808949989046202 0.0533589835318375 0.251419310698513 0 0.0684428667050139 0.0894504035723555 0.134609113416839 0.0887699401128417
"Mek" 0.574895882408447 0.100178244505617 0.181251875527001 0.19115117932401 0.196191513160471 0.163307107449357 0.0684428667050139 0 0.217980634829351 0.234082049201532 0.25071182681468
"P38" 0.179802765236491 0.146014479948456 0.182237595481583 0.527683591352412 0.18535942276698 0.164125054341682 0.0894504035723555 0.217980634829351 0 0.370199793750976 0.217995474284547
"Jnk" 0.124498465912621 0.198115749788378 0.214042683366897 0.37996030292225 0.153733316278256 0.162559034807543 0.134609113416839 0.234082049201532 0.370199793750976 0 0.232530762854811
"Akt" 0.19073635608909 0.49446136427325 0.175679472395141 0.19961509266867 0.214812012147998 0.155965135068579 0.0887699401128417 0.25071182681468 0.217995474284547 0.232530762854811 0
