"Raf" "Erk" "Plcg" "PKC" "PKA" "PIP2" "PIP3" "Mek" "P38" "Jnk" "Akt"
"Raf" 0 0.175344909600485 0.343198931596937 0.215372726831937 0.490421600243445 0.213236550054109 0.064794932771627 0.820148420830765 0.346318076208821 0.235486193266592 0.365573691967939
"Erk" 0.175344909600485 0 0.272443095329324 0.299399824023305 0.31999214790106 0.170576987727394 0.112041159885337 0.20994020907014 0.268087949988327 0.281264200045847 0.680859375184189
"Plcg" 0.343198931596937 0.272443095329324 0 0.367876306371558 0.577837913187078 0.556381604680798 0.139509042578961 0.411180450261318 0.527643438604791 0.430466220820026 0.45068876001512
"PKC" 0.215372726831937 0.299399824023305 0.367876306371558 0 0.391152291365703 0.242549432611688 0.116776634015361 0.374906682295916 0.67067128597756 0.554155939292078 0.327177913079761
"PKA" 0.490421600243445 0.31999214790106 0.577837913187078 0.391152291365703 0 0.352159436098334 0.139096477173297 0.56296502117055 0.574542122743192 0.435158329727448 0.50483640648382
"PIP2" 0.213236550054109 0.170576987727394 0.556381604680798 0.242549432611688 0.352159436098334 0 0.373748921955463 0.249865357703595 0.325855470109002 0.240584849480585 0.268877832390593
"PIP3" 0.064794932771627 0.112041159885337 0.139509042578961 0.116776634015361 0.139096477173297 0.373748921955463 0 0.106723680338153 0.142948399147844 0.205280306779259 0.13737768647909
"Mek" 0.820148420830765 0.20994020907014 0.411180450261318 0.374906682295916 0.56296502117055 0.249865357703595 0.106723680338153 0 0.457055878473245 0.419280806916302 0.45099348361568
"P38" 0.346318076208821 0.268087949988327 0.527643438604791 0.67067128597756 0.574542122743192 0.325855470109002 0.142948399147844 0.457055878473245 0 0.563918904521385 0.453626024658456
"Jnk" 0.235486193266592 0.281264200045847 0.430466220820026 0.554155939292078 0.435158329727448 0.240584849480585 0.205280306779259 0.419280806916302 0.563918904521385 0 0.384005370523314
"Akt" 0.365573691967939 0.680859375184189 0.45068876001512 0.327177913079761 0.50483640648382 0.268877832390593 0.13737768647909 0.45099348361568 0.453626024658456 0.384005370523314 0
