"value" "Method" "null_or_alt"
0.0378642062328623 "ar" "null"
0.0404507860849643 "ar" "null"
0.0362639992303076 "ar" "null"
0.0360695632347058 "ar" "null"
0.044255137256608 "ar" "null"
0.0339169496056985 "ar" "null"
0.0416256044878557 "ar" "null"
0.039609278641009 "ar" "null"
0.0330609284339545 "ar" "null"
0.0627791930432521 "ar" "null"
0.0520607446958083 "ar" "null"
0.046836168641438 "ar" "null"
0.0326892841345395 "ar" "null"
0.0375235651213836 "ar" "null"
0.0618540470621215 "ar" "null"
0.0394247069788096 "ar" "null"
0.0521335951830822 "ar" "null"
0.038070610411296 "ar" "null"
0.0356318728589049 "ar" "null"
0.0425340990780696 "ar" "null"
0.0490709611711378 "ar" "null"
0.0370209236091472 "ar" "null"
0.034110677905988 "ar" "null"
0.0270000189332653 "ar" "null"
0.0352319370150649 "ar" "null"
0.0449170187431196 "ar" "null"
0.0354126638190297 "ar" "null"
0.0352268994422789 "ar" "null"
0.0432306328835405 "ar" "null"
0.0354148771002451 "ar" "null"
0.0462044855202361 "ar" "null"
0.0363884418696196 "ar" "null"
0.0293701823036625 "ar" "null"
0.0449837750753576 "ar" "null"
0.0411597633053713 "ar" "null"
0.0487298421031356 "ar" "null"
0.0383684128859215 "ar" "null"
0.0490440628223462 "ar" "null"
0.0401689936281026 "ar" "null"
0.0475111911877016 "ar" "null"
0.0516267541153191 "ar" "null"
0.0489558909272379 "ar" "null"
0.0536702602399342 "ar" "null"
0.0290572960251157 "ar" "null"
0.0329653095751576 "ar" "null"
0.0359629677367414 "ar" "null"
0.0294531597466605 "ar" "null"
0.0577474811635102 "ar" "null"
0.0298166331505212 "ar" "null"
0.0381427681690337 "ar" "null"
0.0479001151231741 "ar" "null"
0.0374802956870697 "ar" "null"
0.0425768994557858 "ar" "null"
0.0503511352791722 "ar" "null"
0.0404604103929449 "ar" "null"
0.0474168831005615 "ar" "null"
0.0402536218882972 "ar" "null"
0.0373215349234596 "ar" "null"
0.0422957342418737 "ar" "null"
0.0414066053218948 "ar" "null"
0.0425362918936397 "ar" "null"
0.0355068012121757 "ar" "null"
0.0686996496560431 "ar" "null"
0.0425110508411174 "ar" "null"
0.0613255570670504 "ar" "null"
0.0454390523462058 "ar" "null"
0.0355501765250227 "ar" "null"
0.0349753822921767 "ar" "null"
0.0432998664812532 "ar" "null"
0.0457950559094089 "ar" "null"
0.0359582945897162 "ar" "null"
0.0413348291797589 "ar" "null"
0.0345601672917221 "ar" "null"
0.0557310503766901 "ar" "null"
0.0384371818253225 "ar" "null"
0.0408767747938543 "ar" "null"
0.031420347074762 "ar" "null"
0.0417054873489581 "ar" "null"
0.0392679196488445 "ar" "null"
0.0387158556366413 "ar" "null"
0.0468612396576915 "ar" "null"
0.0444210039133604 "ar" "null"
0.0325904756886757 "ar" "null"
0.0512949614472895 "ar" "null"
0.0374406863341763 "ar" "null"
0.0405899338687568 "ar" "null"
0.0361376281589549 "ar" "null"
0.0406270916266492 "ar" "null"
0.0329325722944889 "ar" "null"
0.0500222191211685 "ar" "null"
0.0583255099626982 "ar" "null"
0.0575149572563238 "ar" "null"
0.0400042580023482 "ar" "null"
0.0378377920189707 "ar" "null"
0.0350060862694676 "ar" "null"
0.0280280446608641 "ar" "null"
0.0305601990167801 "ar" "null"
0.0453717858680746 "ar" "null"
0.0436924898670156 "ar" "null"
0.0450812880138373 "ar" "null"
0.0340130307111949 "ar" "null"
0.0333851726760865 "ar" "null"
0.0417548258677511 "ar" "null"
0.0359199864850492 "ar" "null"
0.0522697057442754 "ar" "null"
0.0370327281620864 "ar" "null"
0.0290880532209137 "ar" "null"
0.0471539092359615 "ar" "null"
0.0454307007629161 "ar" "null"
0.051250181052333 "ar" "null"
0.0313997218423112 "ar" "null"
0.045162238917856 "ar" "null"
