"power" "noise" "d_type" "method"
1 1 "linear" "ar"
1 2 "linear" "ar"
1 3 "linear" "ar"
1 4 "linear" "ar"
1 5 "linear" "ar"
1 6 "linear" "ar"
1 7 "linear" "ar"
1 8 "linear" "ar"
1 9 "linear" "ar"
1 10 "linear" "ar"
0.99 11 "linear" "ar"
0.974 12 "linear" "ar"
0.954 13 "linear" "ar"
0.932 14 "linear" "ar"
0.912 15 "linear" "ar"
0.882 16 "linear" "ar"
0.822 17 "linear" "ar"
0.792 18 "linear" "ar"
0.734 19 "linear" "ar"
0.672 20 "linear" "ar"
0.586 21 "linear" "ar"
0.58 22 "linear" "ar"
0.626 23 "linear" "ar"
0.542 24 "linear" "ar"
0.438 25 "linear" "ar"
0.4 26 "linear" "ar"
0.4 27 "linear" "ar"
0.404 28 "linear" "ar"
0.374 29 "linear" "ar"
0.368 30 "linear" "ar"
1 1 "quadratic" "ar"
1 2 "quadratic" "ar"
1 3 "quadratic" "ar"
1 4 "quadratic" "ar"
1 5 "quadratic" "ar"
1 6 "quadratic" "ar"
1 7 "quadratic" "ar"
0.998 8 "quadratic" "ar"
0.986 9 "quadratic" "ar"
0.948 10 "quadratic" "ar"
0.908 11 "quadratic" "ar"
0.814 12 "quadratic" "ar"
0.73 13 "quadratic" "ar"
0.684 14 "quadratic" "ar"
0.574 15 "quadratic" "ar"
0.482 16 "quadratic" "ar"
0.458 17 "quadratic" "ar"
0.48 18 "quadratic" "ar"
0.326 19 "quadratic" "ar"
0.318 20 "quadratic" "ar"
0.238 21 "quadratic" "ar"
0.342 22 "quadratic" "ar"
0.22 23 "quadratic" "ar"
0.228 24 "quadratic" "ar"
0.212 25 "quadratic" "ar"
0.146 26 "quadratic" "ar"
0.15 27 "quadratic" "ar"
0.138 28 "quadratic" "ar"
0.17 29 "quadratic" "ar"
0.128 30 "quadratic" "ar"
1 1 "cubic" "ar"
1 2 "cubic" "ar"
1 3 "cubic" "ar"
1 4 "cubic" "ar"
1 5 "cubic" "ar"
1 6 "cubic" "ar"
1 7 "cubic" "ar"
1 8 "cubic" "ar"
1 9 "cubic" "ar"
0.998 10 "cubic" "ar"
0.98 11 "cubic" "ar"
0.982 12 "cubic" "ar"
0.974 13 "cubic" "ar"
0.93 14 "cubic" "ar"
0.876 15 "cubic" "ar"
0.82 16 "cubic" "ar"
0.8 17 "cubic" "ar"
0.64 18 "cubic" "ar"
0.656 19 "cubic" "ar"
0.648 20 "cubic" "ar"
0.54 21 "cubic" "ar"
0.554 22 "cubic" "ar"
0.548 23 "cubic" "ar"
0.468 24 "cubic" "ar"
0.392 25 "cubic" "ar"
0.394 26 "cubic" "ar"
0.344 27 "cubic" "ar"
0.332 28 "cubic" "ar"
0.382 29 "cubic" "ar"
0.25 30 "cubic" "ar"
1 1 "sine period 1/2" "ar"
1 2 "sine period 1/2" "ar"
1 3 "sine period 1/2" "ar"
1 4 "sine period 1/2" "ar"
1 5 "sine period 1/2" "ar"
1 6 "sine period 1/2" "ar"
0.994 7 "sine period 1/2" "ar"
0.96 8 "sine period 1/2" "ar"
0.902 9 "sine period 1/2" "ar"
0.824 10 "sine period 1/2" "ar"
0.678 11 "sine period 1/2" "ar"
0.66 12 "sine period 1/2" "ar"
0.508 13 "sine period 1/2" "ar"
0.564 14 "sine period 1/2" "ar"
0.406 15 "sine period 1/2" "ar"
0.36 16 "sine period 1/2" "ar"
0.29 17 "sine period 1/2" "ar"
0.342 18 "sine period 1/2" "ar"
0.29 19 "sine period 1/2" "ar"
0.17 20 "sine period 1/2" "ar"
0.25 21 "sine period 1/2" "ar"
0.182 22 "sine period 1/2" "ar"
0.162 23 "sine period 1/2" "ar"
0.19 24 "sine period 1/2" "ar"
0.196 25 "sine period 1/2" "ar"
0.172 26 "sine period 1/2" "ar"
0.102 27 "sine period 1/2" "ar"
0.186 28 "sine period 1/2" "ar"
0.138 29 "sine period 1/2" "ar"
0.146 30 "sine period 1/2" "ar"
1 1 "sine period 1/8" "ar"
0.956 2 "sine period 1/8" "ar"
0.864 3 "sine period 1/8" "ar"
0.816 4 "sine period 1/8" "ar"
0.714 5 "sine period 1/8" "ar"
0.556 6 "sine period 1/8" "ar"
0.574 7 "sine period 1/8" "ar"
0.366 8 "sine period 1/8" "ar"
0.394 9 "sine period 1/8" "ar"
0.304 10 "sine period 1/8" "ar"
0.33 11 "sine period 1/8" "ar"
0.242 12 "sine period 1/8" "ar"
0.184 13 "sine period 1/8" "ar"
0.152 14 "sine period 1/8" "ar"
0.13 15 "sine period 1/8" "ar"
0.12 16 "sine period 1/8" "ar"
0.138 17 "sine period 1/8" "ar"
0.152 18 "sine period 1/8" "ar"
0.152 19 "sine period 1/8" "ar"
0.162 20 "sine period 1/8" "ar"
0.128 21 "sine period 1/8" "ar"
0.134 22 "sine period 1/8" "ar"
0.09 23 "sine period 1/8" "ar"
0.11 24 "sine period 1/8" "ar"
0.084 25 "sine period 1/8" "ar"
0.1 26 "sine period 1/8" "ar"
0.084 27 "sine period 1/8" "ar"
0.056 28 "sine period 1/8" "ar"
0.116 29 "sine period 1/8" "ar"
0.106 30 "sine period 1/8" "ar"
1 1 "x^(1/4)" "ar"
1 2 "x^(1/4)" "ar"
1 3 "x^(1/4)" "ar"
1 4 "x^(1/4)" "ar"
1 5 "x^(1/4)" "ar"
0.99 6 "x^(1/4)" "ar"
0.974 7 "x^(1/4)" "ar"
0.914 8 "x^(1/4)" "ar"
0.832 9 "x^(1/4)" "ar"
0.724 10 "x^(1/4)" "ar"
0.706 11 "x^(1/4)" "ar"
0.668 12 "x^(1/4)" "ar"
0.53 13 "x^(1/4)" "ar"
0.454 14 "x^(1/4)" "ar"
0.422 15 "x^(1/4)" "ar"
0.354 16 "x^(1/4)" "ar"
0.324 17 "x^(1/4)" "ar"
0.282 18 "x^(1/4)" "ar"
0.33 19 "x^(1/4)" "ar"
0.28 20 "x^(1/4)" "ar"
0.152 21 "x^(1/4)" "ar"
0.192 22 "x^(1/4)" "ar"
0.212 23 "x^(1/4)" "ar"
0.162 24 "x^(1/4)" "ar"
0.186 25 "x^(1/4)" "ar"
0.132 26 "x^(1/4)" "ar"
0.15 27 "x^(1/4)" "ar"
0.194 28 "x^(1/4)" "ar"
0.144 29 "x^(1/4)" "ar"
0.154 30 "x^(1/4)" "ar"
1 1 "circle" "ar"
1 2 "circle" "ar"
1 3 "circle" "ar"
1 4 "circle" "ar"
1 5 "circle" "ar"
1 6 "circle" "ar"
1 7 "circle" "ar"
1 8 "circle" "ar"
1 9 "circle" "ar"
1 10 "circle" "ar"
1 11 "circle" "ar"
1 12 "circle" "ar"
1 13 "circle" "ar"
1 14 "circle" "ar"
1 15 "circle" "ar"
1 16 "circle" "ar"
1 17 "circle" "ar"
0.994 18 "circle" "ar"
0.998 19 "circle" "ar"
0.99 20 "circle" "ar"
0.958 21 "circle" "ar"
0.962 22 "circle" "ar"
0.946 23 "circle" "ar"
0.838 24 "circle" "ar"
0.718 25 "circle" "ar"
0.842 26 "circle" "ar"
0.71 27 "circle" "ar"
0.678 28 "circle" "ar"
0.592 29 "circle" "ar"
0.55 30 "circle" "ar"
1 1 "step" "ar"
1 2 "step" "ar"
0.996 3 "step" "ar"
0.946 4 "step" "ar"
0.798 5 "step" "ar"
0.672 6 "step" "ar"
0.578 7 "step" "ar"
0.45 8 "step" "ar"
0.356 9 "step" "ar"
0.37 10 "step" "ar"
0.214 11 "step" "ar"
0.232 12 "step" "ar"
0.214 13 "step" "ar"
0.174 14 "step" "ar"
0.184 15 "step" "ar"
0.114 16 "step" "ar"
0.152 17 "step" "ar"
0.122 18 "step" "ar"
0.11 19 "step" "ar"
0.102 20 "step" "ar"
0.09 21 "step" "ar"
0.084 22 "step" "ar"
0.1 23 "step" "ar"
0.128 24 "step" "ar"
0.082 25 "step" "ar"
0.094 26 "step" "ar"
0.094 27 "step" "ar"
0.058 28 "step" "ar"
0.07 29 "step" "ar"
0.074 30 "step" "ar"
1 1 "cross" "ar"
1 2 "cross" "ar"
1 3 "cross" "ar"
1 4 "cross" "ar"
1 5 "cross" "ar"
1 6 "cross" "ar"
0.998 7 "cross" "ar"
0.968 8 "cross" "ar"
0.836 9 "cross" "ar"
0.544 10 "cross" "ar"
0.386 11 "cross" "ar"
0.196 12 "cross" "ar"
0.12 13 "cross" "ar"
0.094 14 "cross" "ar"
0.174 15 "cross" "ar"
0.092 16 "cross" "ar"
0.056 17 "cross" "ar"
0.096 18 "cross" "ar"
0.082 19 "cross" "ar"
0.05 20 "cross" "ar"
0.074 21 "cross" "ar"
0.05 22 "cross" "ar"
0.054 23 "cross" "ar"
0.076 24 "cross" "ar"
0.066 25 "cross" "ar"
0.038 26 "cross" "ar"
0.034 27 "cross" "ar"
0.042 28 "cross" "ar"
0.05 29 "cross" "ar"
0.03 30 "cross" "ar"
1 1 "clusters" "ar"
1 2 "clusters" "ar"
1 3 "clusters" "ar"
1 4 "clusters" "ar"
1 5 "clusters" "ar"
1 6 "clusters" "ar"
1 7 "clusters" "ar"
1 8 "clusters" "ar"
1 9 "clusters" "ar"
0.998 10 "clusters" "ar"
0.998 11 "clusters" "ar"
0.926 12 "clusters" "ar"
0.678 13 "clusters" "ar"
0.416 14 "clusters" "ar"
0.214 15 "clusters" "ar"
0.178 16 "clusters" "ar"
0.12 17 "clusters" "ar"
0.066 18 "clusters" "ar"
0.086 19 "clusters" "ar"
0.076 20 "clusters" "ar"
0.05 21 "clusters" "ar"
0.056 22 "clusters" "ar"
0.062 23 "clusters" "ar"
0.074 24 "clusters" "ar"
0.046 25 "clusters" "ar"
0.036 26 "clusters" "ar"
0.054 27 "clusters" "ar"
0.038 28 "clusters" "ar"
0.06 29 "clusters" "ar"
0.078 30 "clusters" "ar"
1 1 "two parabola" "ar"
1 2 "two parabola" "ar"
1 3 "two parabola" "ar"
1 4 "two parabola" "ar"
1 5 "two parabola" "ar"
1 6 "two parabola" "ar"
0.998 7 "two parabola" "ar"
0.95 8 "two parabola" "ar"
0.74 9 "two parabola" "ar"
0.438 10 "two parabola" "ar"
0.246 11 "two parabola" "ar"
0.162 12 "two parabola" "ar"
0.166 13 "two parabola" "ar"
0.098 14 "two parabola" "ar"
0.098 15 "two parabola" "ar"
0.11 16 "two parabola" "ar"
0.068 17 "two parabola" "ar"
0.072 18 "two parabola" "ar"
0.1 19 "two parabola" "ar"
0.064 20 "two parabola" "ar"
0.04 21 "two parabola" "ar"
0.048 22 "two parabola" "ar"
0.066 23 "two parabola" "ar"
0.036 24 "two parabola" "ar"
0.038 25 "two parabola" "ar"
0.078 26 "two parabola" "ar"
0.04 27 "two parabola" "ar"
0.048 28 "two parabola" "ar"
0.042 29 "two parabola" "ar"
0.04 30 "two parabola" "ar"
1 1 "spiral" "ar"
0.996 2 "spiral" "ar"
0.992 3 "spiral" "ar"
0.97 4 "spiral" "ar"
0.852 5 "spiral" "ar"
0.748 6 "spiral" "ar"
0.588 7 "spiral" "ar"
0.442 8 "spiral" "ar"
0.522 9 "spiral" "ar"
0.44 10 "spiral" "ar"
0.482 11 "spiral" "ar"
0.39 12 "spiral" "ar"
0.424 13 "spiral" "ar"
0.37 14 "spiral" "ar"
0.3 15 "spiral" "ar"
0.302 16 "spiral" "ar"
0.248 17 "spiral" "ar"
0.22 18 "spiral" "ar"
0.162 19 "spiral" "ar"
0.176 20 "spiral" "ar"
0.246 21 "spiral" "ar"
0.114 22 "spiral" "ar"
0.154 23 "spiral" "ar"
0.182 24 "spiral" "ar"
0.148 25 "spiral" "ar"
0.14 26 "spiral" "ar"
0.142 27 "spiral" "ar"
0.146 28 "spiral" "ar"
0.116 29 "spiral" "ar"
0.122 30 "spiral" "ar"
