"power" "noise" "n_loess" "method"
1 1 1 "ar"
0.548 2 1 "ar"
0.114 3 1 "ar"
0.04 4 1 "ar"
0.068 5 1 "ar"
0.03 6 1 "ar"
0.064 7 1 "ar"
0.086 8 1 "ar"
0.052 9 1 "ar"
0.054 10 1 "ar"
1 1 2 "ar"
0.892 2 2 "ar"
0.214 3 2 "ar"
0.11 4 2 "ar"
0.076 5 2 "ar"
0.064 6 2 "ar"
0.078 7 2 "ar"
0.05 8 2 "ar"
0.034 9 2 "ar"
0.042 10 2 "ar"
1 1 3 "ar"
1 2 3 "ar"
1 3 3 "ar"
1 4 3 "ar"
1 5 3 "ar"
1 6 3 "ar"
0.986 7 3 "ar"
0.958 8 3 "ar"
0.892 9 3 "ar"
0.784 10 3 "ar"
1 1 4 "ar"
1 2 4 "ar"
1 3 4 "ar"
0.948 4 4 "ar"
0.786 5 4 "ar"
0.51 6 4 "ar"
0.476 7 4 "ar"
0.254 8 4 "ar"
0.278 9 4 "ar"
0.228 10 4 "ar"
1 1 5 "ar"
1 2 5 "ar"
1 3 5 "ar"
1 4 5 "ar"
1 5 5 "ar"
0.994 6 5 "ar"
0.944 7 5 "ar"
0.86 8 5 "ar"
0.748 9 5 "ar"
0.68 10 5 "ar"
1 1 6 "ar"
1 2 6 "ar"
1 3 6 "ar"
1 4 6 "ar"
0.958 5 6 "ar"
0.83 6 6 "ar"
0.664 7 6 "ar"
0.514 8 6 "ar"
0.442 9 6 "ar"
0.368 10 6 "ar"
1 1 7 "ar"
1 2 7 "ar"
1 3 7 "ar"
1 4 7 "ar"
0.996 5 7 "ar"
0.952 6 7 "ar"
0.848 7 7 "ar"
0.716 8 7 "ar"
0.648 9 7 "ar"
0.546 10 7 "ar"
1 1 8 "ar"
1 2 8 "ar"
1 3 8 "ar"
0.976 4 8 "ar"
0.806 5 8 "ar"
0.624 6 8 "ar"
0.432 7 8 "ar"
0.38 8 8 "ar"
0.292 9 8 "ar"
0.226 10 8 "ar"
1 1 9 "ar"
