"power" "noise" "d_type" "method"
1 1 "exp" "ar"
1 2 "exp" "ar"
1 3 "exp" "ar"
1 4 "exp" "ar"
1 5 "exp" "ar"
1 6 "exp" "ar"
0.974 7 "exp" "ar"
0.928 8 "exp" "ar"
0.878 9 "exp" "ar"
0.744 10 "exp" "ar"
0.716 11 "exp" "ar"
0.614 12 "exp" "ar"
0.502 13 "exp" "ar"
0.51 14 "exp" "ar"
0.486 15 "exp" "ar"
0.4 16 "exp" "ar"
0.36 17 "exp" "ar"
0.356 18 "exp" "ar"
0.288 19 "exp" "ar"
0.224 20 "exp" "ar"
0.204 21 "exp" "ar"
0.216 22 "exp" "ar"
0.174 23 "exp" "ar"
0.18 24 "exp" "ar"
0.208 25 "exp" "ar"
0.226 26 "exp" "ar"
0.114 27 "exp" "ar"
0.174 28 "exp" "ar"
0.146 29 "exp" "ar"
0.208 30 "exp" "ar"
1 1 "log" "ar"
1 2 "log" "ar"
1 3 "log" "ar"
1 4 "log" "ar"
1 5 "log" "ar"
1 6 "log" "ar"
1 7 "log" "ar"
1 8 "log" "ar"
1 9 "log" "ar"
0.996 10 "log" "ar"
0.996 11 "log" "ar"
0.984 12 "log" "ar"
0.982 13 "log" "ar"
0.962 14 "log" "ar"
0.954 15 "log" "ar"
0.898 16 "log" "ar"
0.88 17 "log" "ar"
0.826 18 "log" "ar"
0.764 19 "log" "ar"
0.76 20 "log" "ar"
0.716 21 "log" "ar"
0.636 22 "log" "ar"
0.6 23 "log" "ar"
0.554 24 "log" "ar"
0.536 25 "log" "ar"
0.488 26 "log" "ar"
0.448 27 "log" "ar"
0.44 28 "log" "ar"
0.34 29 "log" "ar"
0.402 30 "log" "ar"
1 1 "exp" "cor"
1 2 "exp" "cor"
1 3 "exp" "cor"
1 4 "exp" "cor"
1 5 "exp" "cor"
1 6 "exp" "cor"
0.976 7 "exp" "cor"
0.952 8 "exp" "cor"
0.912 9 "exp" "cor"
0.778 10 "exp" "cor"
0.764 11 "exp" "cor"
0.666 12 "exp" "cor"
0.564 13 "exp" "cor"
0.578 14 "exp" "cor"
0.512 15 "exp" "cor"
0.44 16 "exp" "cor"
0.44 17 "exp" "cor"
0.366 18 "exp" "cor"
0.292 19 "exp" "cor"
0.294 20 "exp" "cor"
0.22 21 "exp" "cor"
0.288 22 "exp" "cor"
0.202 23 "exp" "cor"
0.202 24 "exp" "cor"
0.224 25 "exp" "cor"
0.2 26 "exp" "cor"
0.148 27 "exp" "cor"
0.176 28 "exp" "cor"
0.128 29 "exp" "cor"
0.19 30 "exp" "cor"
1 1 "log" "cor"
1 2 "log" "cor"
1 3 "log" "cor"
1 4 "log" "cor"
1 5 "log" "cor"
1 6 "log" "cor"
1 7 "log" "cor"
1 8 "log" "cor"
1 9 "log" "cor"
0.996 10 "log" "cor"
0.994 11 "log" "cor"
0.988 12 "log" "cor"
0.968 13 "log" "cor"
0.972 14 "log" "cor"
0.948 15 "log" "cor"
0.894 16 "log" "cor"
0.868 17 "log" "cor"
0.87 18 "log" "cor"
0.762 19 "log" "cor"
0.766 20 "log" "cor"
0.71 21 "log" "cor"
0.638 22 "log" "cor"
0.65 23 "log" "cor"
0.562 24 "log" "cor"
0.51 25 "log" "cor"
0.512 26 "log" "cor"
0.48 27 "log" "cor"
0.49 28 "log" "cor"
0.364 29 "log" "cor"
0.32 30 "log" "cor"
1 1 "exp" "dcor"
1 2 "exp" "dcor"
1 3 "exp" "dcor"
1 4 "exp" "dcor"
1 5 "exp" "dcor"
0.998 6 "exp" "dcor"
0.972 7 "exp" "dcor"
0.918 8 "exp" "dcor"
0.884 9 "exp" "dcor"
0.744 10 "exp" "dcor"
0.762 11 "exp" "dcor"
0.632 12 "exp" "dcor"
0.54 13 "exp" "dcor"
0.534 14 "exp" "dcor"
0.498 15 "exp" "dcor"
0.4 16 "exp" "dcor"
0.368 17 "exp" "dcor"
0.372 18 "exp" "dcor"
0.274 19 "exp" "dcor"
0.274 20 "exp" "dcor"
0.202 21 "exp" "dcor"
0.218 22 "exp" "dcor"
0.212 23 "exp" "dcor"
0.22 24 "exp" "dcor"
0.208 25 "exp" "dcor"
0.196 26 "exp" "dcor"
0.15 27 "exp" "dcor"
0.18 28 "exp" "dcor"
0.094 29 "exp" "dcor"
0.206 30 "exp" "dcor"
1 1 "log" "dcor"
1 2 "log" "dcor"
1 3 "log" "dcor"
1 4 "log" "dcor"
1 5 "log" "dcor"
1 6 "log" "dcor"
1 7 "log" "dcor"
1 8 "log" "dcor"
1 9 "log" "dcor"
0.99 10 "log" "dcor"
0.994 11 "log" "dcor"
0.978 12 "log" "dcor"
0.962 13 "log" "dcor"
0.95 14 "log" "dcor"
0.918 15 "log" "dcor"
0.852 16 "log" "dcor"
0.808 17 "log" "dcor"
0.808 18 "log" "dcor"
0.73 19 "log" "dcor"
0.74 20 "log" "dcor"
0.668 21 "log" "dcor"
0.6 22 "log" "dcor"
0.606 23 "log" "dcor"
0.532 24 "log" "dcor"
0.462 25 "log" "dcor"
0.432 26 "log" "dcor"
0.406 27 "log" "dcor"
0.452 28 "log" "dcor"
0.312 29 "log" "dcor"
0.326 30 "log" "dcor"
1 1 "exp" "MIC"
1 2 "exp" "MIC"
