"power" "noise" "d_type" "method"
1 1 "linear" "ar"
1 2 "linear" "ar"
0.974 3 "linear" "ar"
0.844 4 "linear" "ar"
0.67 5 "linear" "ar"
0.53 6 "linear" "ar"
0.418 7 "linear" "ar"
0.346 8 "linear" "ar"
0.278 9 "linear" "ar"
0.202 10 "linear" "ar"
0.202 11 "linear" "ar"
0.228 12 "linear" "ar"
0.138 13 "linear" "ar"
0.126 14 "linear" "ar"
0.1 15 "linear" "ar"
0.086 16 "linear" "ar"
0.148 17 "linear" "ar"
0.122 18 "linear" "ar"
0.106 19 "linear" "ar"
0.08 20 "linear" "ar"
0.114 21 "linear" "ar"
0.076 22 "linear" "ar"
0.082 23 "linear" "ar"
0.094 24 "linear" "ar"
0.068 25 "linear" "ar"
0.106 26 "linear" "ar"
0.064 27 "linear" "ar"
0.076 28 "linear" "ar"
0.08 29 "linear" "ar"
0.068 30 "linear" "ar"
1 1 "quadratic" "ar"
0.91 2 "quadratic" "ar"
0.516 3 "quadratic" "ar"
0.278 4 "quadratic" "ar"
0.278 5 "quadratic" "ar"
0.192 6 "quadratic" "ar"
0.164 7 "quadratic" "ar"
0.102 8 "quadratic" "ar"
0.066 9 "quadratic" "ar"
0.072 10 "quadratic" "ar"
0.072 11 "quadratic" "ar"
0.062 12 "quadratic" "ar"
0.066 13 "quadratic" "ar"
0.082 14 "quadratic" "ar"
0.05 15 "quadratic" "ar"
0.044 16 "quadratic" "ar"
0.068 17 "quadratic" "ar"
0.032 18 "quadratic" "ar"
0.044 19 "quadratic" "ar"
0.032 20 "quadratic" "ar"
0.04 21 "quadratic" "ar"
0.05 22 "quadratic" "ar"
0.044 23 "quadratic" "ar"
0.042 24 "quadratic" "ar"
0.092 25 "quadratic" "ar"
0.044 26 "quadratic" "ar"
0.042 27 "quadratic" "ar"
0.086 28 "quadratic" "ar"
0.052 29 "quadratic" "ar"
0.072 30 "quadratic" "ar"
0.972 1 "cubic" "ar"
0.814 2 "cubic" "ar"
0.614 3 "cubic" "ar"
0.542 4 "cubic" "ar"
0.418 5 "cubic" "ar"
0.316 6 "cubic" "ar"
0.298 7 "cubic" "ar"
0.236 8 "cubic" "ar"
0.19 9 "cubic" "ar"
0.176 10 "cubic" "ar"
0.136 11 "cubic" "ar"
0.116 12 "cubic" "ar"
0.182 13 "cubic" "ar"
0.128 14 "cubic" "ar"
0.096 15 "cubic" "ar"
0.086 16 "cubic" "ar"
0.088 17 "cubic" "ar"
0.14 18 "cubic" "ar"
0.064 19 "cubic" "ar"
0.082 20 "cubic" "ar"
0.078 21 "cubic" "ar"
0.1 22 "cubic" "ar"
0.048 23 "cubic" "ar"
0.08 24 "cubic" "ar"
0.058 25 "cubic" "ar"
0.102 26 "cubic" "ar"
0.066 27 "cubic" "ar"
0.098 28 "cubic" "ar"
0.08 29 "cubic" "ar"
0.068 30 "cubic" "ar"
0.546 1 "sine period 1/2" "ar"
0.484 2 "sine period 1/2" "ar"
0.36 3 "sine period 1/2" "ar"
0.26 4 "sine period 1/2" "ar"
0.17 5 "sine period 1/2" "ar"
0.188 6 "sine period 1/2" "ar"
0.09 7 "sine period 1/2" "ar"
0.12 8 "sine period 1/2" "ar"
0.102 9 "sine period 1/2" "ar"
0.092 10 "sine period 1/2" "ar"
0.054 11 "sine period 1/2" "ar"
0.094 12 "sine period 1/2" "ar"
0.084 13 "sine period 1/2" "ar"
0.064 14 "sine period 1/2" "ar"
0.056 15 "sine period 1/2" "ar"
0.07 16 "sine period 1/2" "ar"
0.062 17 "sine period 1/2" "ar"
0.06 18 "sine period 1/2" "ar"
0.072 19 "sine period 1/2" "ar"
0.064 20 "sine period 1/2" "ar"
0.042 21 "sine period 1/2" "ar"
0.07 22 "sine period 1/2" "ar"
0.046 23 "sine period 1/2" "ar"
0.06 24 "sine period 1/2" "ar"
0.074 25 "sine period 1/2" "ar"
0.076 26 "sine period 1/2" "ar"
0.064 27 "sine period 1/2" "ar"
0.052 28 "sine period 1/2" "ar"
0.066 29 "sine period 1/2" "ar"
0.046 30 "sine period 1/2" "ar"
0.09 1 "sine period 1/8" "ar"
0.056 2 "sine period 1/8" "ar"
0.086 3 "sine period 1/8" "ar"
0.084 4 "sine period 1/8" "ar"
0.068 5 "sine period 1/8" "ar"
0.068 6 "sine period 1/8" "ar"
0.082 7 "sine period 1/8" "ar"
0.084 8 "sine period 1/8" "ar"
0.058 9 "sine period 1/8" "ar"
0.074 10 "sine period 1/8" "ar"
0.052 11 "sine period 1/8" "ar"
0.046 12 "sine period 1/8" "ar"
0.09 13 "sine period 1/8" "ar"
0.04 14 "sine period 1/8" "ar"
0.054 15 "sine period 1/8" "ar"
0.068 16 "sine period 1/8" "ar"
0.072 17 "sine period 1/8" "ar"
0.04 18 "sine period 1/8" "ar"
0.038 19 "sine period 1/8" "ar"
0.038 20 "sine period 1/8" "ar"
0.044 21 "sine period 1/8" "ar"
0.048 22 "sine period 1/8" "ar"
0.048 23 "sine period 1/8" "ar"
0.04 24 "sine period 1/8" "ar"
0.086 25 "sine period 1/8" "ar"
0.066 26 "sine period 1/8" "ar"
0.074 27 "sine period 1/8" "ar"
0.056 28 "sine period 1/8" "ar"
0.056 29 "sine period 1/8" "ar"
0.036 30 "sine period 1/8" "ar"
1 1 "x^(1/4)" "ar"
0.826 2 "x^(1/4)" "ar"
0.56 3 "x^(1/4)" "ar"
0.35 4 "x^(1/4)" "ar"
0.254 5 "x^(1/4)" "ar"
0.188 6 "x^(1/4)" "ar"
0.138 7 "x^(1/4)" "ar"
0.122 8 "x^(1/4)" "ar"
0.1 9 "x^(1/4)" "ar"
0.068 10 "x^(1/4)" "ar"
0.08 11 "x^(1/4)" "ar"
0.11 12 "x^(1/4)" "ar"
0.064 13 "x^(1/4)" "ar"
0.044 14 "x^(1/4)" "ar"
0.074 15 "x^(1/4)" "ar"
0.078 16 "x^(1/4)" "ar"
0.084 17 "x^(1/4)" "ar"
0.072 18 "x^(1/4)" "ar"
0.048 19 "x^(1/4)" "ar"
0.062 20 "x^(1/4)" "ar"
0.036 21 "x^(1/4)" "ar"
0.064 22 "x^(1/4)" "ar"
0.036 23 "x^(1/4)" "ar"
0.068 24 "x^(1/4)" "ar"
0.048 25 "x^(1/4)" "ar"
0.072 26 "x^(1/4)" "ar"
0.066 27 "x^(1/4)" "ar"
0.074 28 "x^(1/4)" "ar"
0.048 29 "x^(1/4)" "ar"
0.086 30 "x^(1/4)" "ar"
0.322 1 "circle" "ar"
0.18 2 "circle" "ar"
0.088 3 "circle" "ar"
0.046 4 "circle" "ar"
0.034 5 "circle" "ar"
0.03 6 "circle" "ar"
0.034 7 "circle" "ar"
0.02 8 "circle" "ar"
0.01 9 "circle" "ar"
0.02 10 "circle" "ar"
0.016 11 "circle" "ar"
0.008 12 "circle" "ar"
0.012 13 "circle" "ar"
0.012 14 "circle" "ar"
0.006 15 "circle" "ar"
0.012 16 "circle" "ar"
0.014 17 "circle" "ar"
0.012 18 "circle" "ar"
0.016 19 "circle" "ar"
0.024 20 "circle" "ar"
0.02 21 "circle" "ar"
0.034 22 "circle" "ar"
0.02 23 "circle" "ar"
0.032 24 "circle" "ar"
0.034 25 "circle" "ar"
0.02 26 "circle" "ar"
0.02 27 "circle" "ar"
0.022 28 "circle" "ar"
0.042 29 "circle" "ar"
0.022 30 "circle" "ar"
0.842 1 "step" "ar"
0.418 2 "step" "ar"
0.21 3 "step" "ar"
0.166 4 "step" "ar"
0.138 5 "step" "ar"
0.11 6 "step" "ar"
0.12 7 "step" "ar"
0.052 8 "step" "ar"
0.066 9 "step" "ar"
0.07 10 "step" "ar"
0.034 11 "step" "ar"
0.09 12 "step" "ar"
0.052 13 "step" "ar"
0.09 14 "step" "ar"
0.066 15 "step" "ar"
0.048 16 "step" "ar"
0.034 17 "step" "ar"
0.064 18 "step" "ar"
0.082 19 "step" "ar"
0.082 20 "step" "ar"
0.082 21 "step" "ar"
0.07 22 "step" "ar"
0.048 23 "step" "ar"
0.05 24 "step" "ar"
0.054 25 "step" "ar"
0.048 26 "step" "ar"
0.056 27 "step" "ar"
0.06 28 "step" "ar"
0.054 29 "step" "ar"
0.042 30 "step" "ar"
0.782 1 "cross" "ar"
0.482 2 "cross" "ar"
0.494 3 "cross" "ar"
0.354 4 "cross" "ar"
0.234 5 "cross" "ar"
0.228 6 "cross" "ar"
0.2 7 "cross" "ar"
0.132 8 "cross" "ar"
0.122 9 "cross" "ar"
0.134 10 "cross" "ar"
0.112 11 "cross" "ar"
0.084 12 "cross" "ar"
0.096 13 "cross" "ar"
0.062 14 "cross" "ar"
0.068 15 "cross" "ar"
0.126 16 "cross" "ar"
0.078 17 "cross" "ar"
0.074 18 "cross" "ar"
0.102 19 "cross" "ar"
0.056 20 "cross" "ar"
0.118 21 "cross" "ar"
0.064 22 "cross" "ar"
0.08 23 "cross" "ar"
0.08 24 "cross" "ar"
0.072 25 "cross" "ar"
0.084 26 "cross" "ar"
0.074 27 "cross" "ar"
0.06 28 "cross" "ar"
0.05 29 "cross" "ar"
0.076 30 "cross" "ar"
0.224 1 "clusters" "ar"
0.262 2 "clusters" "ar"
0.248 3 "clusters" "ar"
0.216 4 "clusters" "ar"
0.178 5 "clusters" "ar"
0.184 6 "clusters" "ar"
0.224 7 "clusters" "ar"
0.172 8 "clusters" "ar"
0.176 9 "clusters" "ar"
0.222 10 "clusters" "ar"
0.132 11 "clusters" "ar"
0.166 12 "clusters" "ar"
0.118 13 "clusters" "ar"
0.132 14 "clusters" "ar"
0.096 15 "clusters" "ar"
0.11 16 "clusters" "ar"
0.116 17 "clusters" "ar"
0.104 18 "clusters" "ar"
0.062 19 "clusters" "ar"
0.104 20 "clusters" "ar"
0.082 21 "clusters" "ar"
0.08 22 "clusters" "ar"
0.048 23 "clusters" "ar"
0.066 24 "clusters" "ar"
0.074 25 "clusters" "ar"
0.062 26 "clusters" "ar"
0.058 27 "clusters" "ar"
0.062 28 "clusters" "ar"
0.042 29 "clusters" "ar"
0.048 30 "clusters" "ar"
0.698 1 "two parabola" "ar"
0.51 2 "two parabola" "ar"
0.326 3 "two parabola" "ar"
0.294 4 "two parabola" "ar"
0.224 5 "two parabola" "ar"
0.254 6 "two parabola" "ar"
0.244 7 "two parabola" "ar"
0.168 8 "two parabola" "ar"
0.098 9 "two parabola" "ar"
0.082 10 "two parabola" "ar"
0.134 11 "two parabola" "ar"
0.112 12 "two parabola" "ar"
0.09 13 "two parabola" "ar"
0.08 14 "two parabola" "ar"
0.076 15 "two parabola" "ar"
0.072 16 "two parabola" "ar"
0.086 17 "two parabola" "ar"
0.092 18 "two parabola" "ar"
0.066 19 "two parabola" "ar"
0.08 20 "two parabola" "ar"
0.09 21 "two parabola" "ar"
0.052 22 "two parabola" "ar"
0.07 23 "two parabola" "ar"
0.066 24 "two parabola" "ar"
0.05 25 "two parabola" "ar"
0.084 26 "two parabola" "ar"
0.06 27 "two parabola" "ar"
0.028 28 "two parabola" "ar"
0.114 29 "two parabola" "ar"
0.09 30 "two parabola" "ar"
0.076 1 "spiral" "ar"
0.03 2 "spiral" "ar"
0.046 3 "spiral" "ar"
0.07 4 "spiral" "ar"
0.044 5 "spiral" "ar"
0.068 6 "spiral" "ar"
0.05 7 "spiral" "ar"
0.076 8 "spiral" "ar"
0.054 9 "spiral" "ar"
0.056 10 "spiral" "ar"
0.058 11 "spiral" "ar"
0.056 12 "spiral" "ar"
0.042 13 "spiral" "ar"
0.07 14 "spiral" "ar"
0.062 15 "spiral" "ar"
0.066 16 "spiral" "ar"
0.032 17 "spiral" "ar"
0.046 18 "spiral" "ar"
0.044 19 "spiral" "ar"
0.048 20 "spiral" "ar"
0.038 21 "spiral" "ar"
