"times" "Method" "n"
0.090000000083819 "ar" 1000
0.0700000000651926 "ar" 1000
0.0800000000745058 "ar" 1000
0.0600000000558794 "ar" 1000
0.0599999998230487 "ar" 1000
0.0600000000558794 "ar" 1000
0.0400000000372529 "ar" 1000
0.0600000000558794 "ar" 1000
0.0500000000465661 "ar" 1000
0.0800000000745058 "ar" 1000
0.189999999944121 "ar" 2000
0.189999999944121 "ar" 2000
0.159999999916181 "ar" 2000
0.159999999916181 "ar" 2000
0.139999999897555 "ar" 2000
0.169999999925494 "ar" 2000
0.169999999925494 "ar" 2000
0.179999999934807 "ar" 2000
0.149999999906868 "ar" 2000
0.159999999916181 "ar" 2000
1.29000000003725 "ar" 5000
1.21999999997206 "ar" 5000
1.28000000002794 "ar" 5000
1.1500000001397 "ar" 5000
1.18999999994412 "ar" 5000
1.27000000001863 "ar" 5000
1.20999999996275 "ar" 5000
1.22999999998137 "ar" 5000
1.18999999994412 "ar" 5000
1.20999999996275 "ar" 5000
4.71999999997206 "ar" 10000
4.86999999987893 "ar" 10000
4.80000000004657 "ar" 10000
4.81000000005588 "ar" 10000
4.89999999990687 "ar" 10000
4.90999999991618 "ar" 10000
4.80999999982305 "ar" 10000
4.90999999991618 "ar" 10000
4.87000000011176 "ar" 10000
4.75 "ar" 10000
0.100000000093132 "ar (rank)" 1000
0.0200000000186265 "ar (rank)" 1000
0.0300000000279397 "ar (rank)" 1000
0.0300000000279397 "ar (rank)" 1000
0.0200000000186265 "ar (rank)" 1000
0.0100000000093132 "ar (rank)" 1000
0 "ar (rank)" 1000
0.0100000000093132 "ar (rank)" 1000
0.0100000000093132 "ar (rank)" 1000
0 "ar (rank)" 1000
0.029999999795109 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0499999998137355 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.0300000000279397 "ar (rank)" 2000
0.139999999897555 "ar (rank)" 5000
0.109999999869615 "ar (rank)" 5000
0.149999999906868 "ar (rank)" 5000
0.160000000149012 "ar (rank)" 5000
0.109999999869615 "ar (rank)" 5000
0.169999999925494 "ar (rank)" 5000
0.109999999869615 "ar (rank)" 5000
0.139999999897555 "ar (rank)" 5000
0.120000000111759 "ar (rank)" 5000
