"acc_train" "acc_test" "test_lower" "test_upper" "Method"
0.816642490842491 0.758064516129032 0.632550292814055 0.857813964151982 "Full-model"
0.832234432234432 0.838709677419355 0.723320154165078 0.919846935083223 "Full-model"
0.814961172161172 0.887096774193548 0.781113213479142 0.953383375627183 "Full-model"
0.829767032967033 0.790322580645161 0.668179165710105 0.883361034221898 "Full-model"
0.818715750915751 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.829058608058608 0.774193548387097 0.650263132359369 0.870696081027774 "Full-model"
0.800842490842491 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.813970695970696 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.829006593406593 0.774193548387097 0.650263132359369 0.870696081027774 "Full-model"
0.820121611721612 0.903225806451613 0.801169623701541 0.963650418307025 "Full-model"
0.843619047619048 0.725806451612903 0.597683842594978 0.831457055070029 "Full-model"
0.844243956043956 0.709677419354839 0.580509799043354 0.818005964132128 "Full-model"
0.842285714285714 0.741935483870968 0.615027546671032 0.844730006535794 "Full-model"
0.802283516483516 0.838709677419355 0.723320154165078 0.919846935083223 "Full-model"
0.793948717948718 0.82258064516129 0.704686678529349 0.907961604082047 "Full-model"
0.835808791208791 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.836641025641026 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.803486446886447 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.838754578754579 0.82258064516129 0.704686678529349 0.907961604082047 "Full-model"
0.827842490842491 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.842956043956044 0.838709677419355 0.723320154165078 0.919846935083223 "Full-model"
0.813549450549451 0.887096774193548 0.781113213479142 0.953383375627183 "Full-model"
0.801131868131868 0.887096774193548 0.781113213479142 0.953383375627183 "Full-model"
0.812055677655678 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.818186080586081 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.825754578754579 0.838709677419355 0.723320154165078 0.919846935083223 "Full-model"
0.841116483516483 0.790322580645161 0.668179165710105 0.883361034221898 "Full-model"
0.834038827838828 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.822199267399267 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.814686446886447 0.887096774193548 0.781113213479142 0.953383375627183 "Full-model"
0.819579487179487 0.790322580645161 0.668179165710105 0.883361034221898 "Full-model"
0.833094505494505 0.82258064516129 0.704686678529349 0.907961604082047 "Full-model"
0.779034432234432 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.836042490842491 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.826928205128205 0.887096774193548 0.781113213479142 0.953383375627183 "Full-model"
0.826816117216117 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.819184615384615 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.839201465201465 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.815519413919414 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.820459340659341 0.82258064516129 0.704686678529349 0.907961604082047 "Full-model"
0.815922344322344 0.806451612903226 0.686314048300537 0.895790370737824 "Full-model"
0.796095238095238 0.870967741935484 0.761491863618209 0.942609994392978 "Full-model"
0.843830769230769 0.790322580645161 0.668179165710105 0.883361034221898 "Full-model"
0.824466666666667 0.790322580645161 0.668179165710105 0.883361034221898 "Full-model"
0.800336263736264 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.815698901098901 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.823087912087912 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.815175824175824 0.854838709677419 0.742243137270859 0.931411387376539 "Full-model"
0.831201465201465 0.758064516129032 0.632550292814055 0.857813964151982 "Full-model"
0.84872380952381 0.82258064516129 0.704686678529349 0.907961604082047 "Full-model"
