"acc" "Method" "nmb"
0.848392640692641 "cor" "52"
0.841263636363636 "cor" "40"
0.842132034632035 "cor" "30"
0.867872294372294 "cor" "20"
0.841899567099567 "cor" "10"
0.703245887445887 "cor" "5"
0.852105194805195 "ar" "52"
0.836482683982684 "ar" "40"
0.852197835497835 "ar" "30"
0.866120346320346 "ar" "20"
0.791935497835498 "ar" "10"
0.704178787878788 "ar" "5"
0.850363636363636 "dcor" "52"
0.846855411255411 "dcor" "40"
0.837266666666667 "dcor" "30"
0.855948917748918 "dcor" "20"
0.830678787878788 "dcor" "10"
0.683922510822511 "dcor" "5"
0.846144155844156 "xicor" "52"
0.849524675324675 "xicor" "40"
0.864153246753247 "xicor" "30"
0.838763203463203 "xicor" "20"
0.784401731601732 "xicor" "10"
0.769977056277056 "xicor" "5"
0.845758008658009 "rdc" "52"
0.844050649350649 "rdc" "40"
0.863274025974026 "rdc" "30"
0.860962770562771 "rdc" "20"
0.81732683982684 "rdc" "10"
0.785154978354978 "rdc" "5"
0.839904329004329 "SIT" "52"
0.839322077922078 "SIT" "40"
0.860787445887446 "SIT" "30"
0.862842424242424 "SIT" "20"
0.815144588744589 "SIT" "10"
0.677921645021645 "SIT" "5"
0.84448354978355 "MIC" "52"
0.841802164502164 "MIC" "40"
0.836009523809524 "MIC" "30"
0.819125108225108 "MIC" "20"
0.772001731601732 "MIC" "10"
0.678177489177489 "MIC" "5"
